stubhubID,vividseatsID,stubhubTitle,vividseatsTitle,Score 1,stubhubPrice,vividseatsPrice,Score 2,Match Score
STUB - 0,VIVID - 46,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Colorado Rockies at Philadelphia Phillies,36.03603603603604,94,49,50.0,50.0
STUB - 0,VIVID - 50,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Arizona Diamondbacks at Philadelphia Phillies,29.565217391304344,94,79,50.0,50.0
STUB - 0,VIVID - 53,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,San Diego Padres at Philadelphia Phillies,34.234234234234236,94,64,50.0,50.0
STUB - 0,VIVID - 56,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Cincinnati Reds at Philadelphia Phillies,32.727272727272734,94,46,50.0,50.0
STUB - 0,VIVID - 57,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Los Angeles Dodgers at Philadelphia Phillies,29.824561403508767,94,43,50.0,50.0
STUB - 0,VIVID - 60,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Tampa Bay Rays at New York Yankees,36.53846153846154,94,59,50.0,50.0
STUB - 0,VIVID - 62,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Minnesota Twins at New York Yankees,32.38095238095238,94,64,50.0,50.0
STUB - 0,VIVID - 63,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Kansas City Royals at New York Yankees,33.33333333333333,94,44,50.0,50.0
STUB - 0,VIVID - 65,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Texas Rangers at New York Yankees,33.009708737864074,94,99,50.0,50.0
STUB - 0,VIVID - 68,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Los Angeles Angels of Anaheim at New York Yankees,38.65546218487395,94,47,50.0,50.0
STUB - 0,VIVID - 72,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Cleveland Indians at New York Yankees,33.64485981308411,94,49,50.0,50.0
STUB - 0,VIVID - 83,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Miami Marlins at Washington Nationals,33.64485981308411,94,46,50.0,50.0
STUB - 0,VIVID - 88,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,St. Louis Cardinals at Washington Nationals,37.16814159292036,94,48,50.0,50.0
STUB - 0,VIVID - 95,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Tampa Bay Rays at Washington Nationals,35.18518518518519,94,92,50.0,50.0
STUB - 0,VIVID - 52,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Milwaukee Brewers at Philadelphia Phillies,32.14285714285714,94,119,40.0,40.0
STUB - 0,VIVID - 28,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Washington Nationals at Pittsburgh Pirates,39.285714285714285,94,103,0.0,39.285714285714285
STUB - 0,VIVID - 94,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Pittsburgh Pirates at Washington Nationals,39.285714285714285,94,83,0.0,39.285714285714285
STUB - 0,VIVID - 85,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Colorado Rockies at Washington Nationals,38.18181818181818,94,57,0.0,38.18181818181818
STUB - 0,VIVID - 98,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,New York Yankees at Washington Nationals,38.18181818181818,94,80,0.0,38.18181818181818
STUB - 0,VIVID - 92,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Milwaukee Brewers at Washington Nationals,37.83783783783784,94,123,0.0,37.83783783783784
STUB - 0,VIVID - 84,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,San Francisco Giants at Washington Nationals,36.8421052631579,94,67,0.0,36.8421052631579
STUB - 0,VIVID - 71,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Boston Red Sox at New York Yankees,36.53846153846154,94,65,0.0,36.53846153846154
STUB - 0,VIVID - 44,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Washington Nationals at Philadelphia Phillies,36.52173913043478,94,82,0.0,36.52173913043478
STUB - 0,VIVID - 91,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,Philadelphia Phillies at Washington Nationals,36.52173913043478,94,38,0.0,36.52173913043478
